id,from,at,to,open,close,min,max,volume
1907014,1670442480,1670442540000000000,1670442540,1.051695,1.051585,1.051575,1.051795,271
1907015,1670442540,1670442600001185472,1670442600,1.051585,1.051665,1.051545,1.051715,266
1907016,1670442600,1670442660003346629,1670442660,1.051665,1.051505,1.051505,1.051665,217
1907017,1670442660,1670442720003858334,1670442720,1.051485,1.051445,1.051435,1.051555,202
1907018,1670442720,1670442780000000000,1670442780,1.051445,1.051305,1.051265,1.051495,206
1907019,1670442780,1670442840009091211,1670442840,1.051285,1.051395,1.051285,1.051525,261
1907020,1670442840,1670442900000000000,1670442900,1.051395,1.051255,1.051225,1.051555,190
1907021,1670442900,1670442960012126730,1670442960,1.051245,1.051205,1.051155,1.051345,220
1907022,1670442960,1670443020003716885,1670443020,1.051205,1.051215,1.051175,1.051285,155
1907023,1670443020,1670443080002601160,1670443080,1.051205,1.051285,1.051045,1.051325,268
1907024,1670443080,1670443140000000000,1670443140,1.051285,1.051275,1.051185,1.051385,226
1907025,1670443140,1670443200000000000,1670443200,1.051285,1.051435,1.051235,1.051445,237
1907026,1670443200,1670443260000000000,1670443260,1.051425,1.051375,1.051335,1.051505,210
1907027,1670443260,1670443320000367615,1670443320,1.051375,1.051445,1.051355,1.051475,171
1907028,1670443320,1670443380000652160,1670443380,1.051465,1.051585,1.051425,1.051625,206
1907029,1670443380,1670443440000000000,1670443440,1.051575,1.051525,1.051475,1.051575,196
1907030,1670443440,1670443500000129047,1670443500,1.051535,1.051375,1.051315,1.051545,191
1907031,1670443500,1670443560001578418,1670443560,1.051365,1.051315,1.051275,1.051455,258
1907032,1670443560,1670443620012084694,1670443620,1.051325,1.051405,1.051275,1.051435,180
1907033,1670443620,1670443680000000000,1670443680,1.051415,1.051395,1.051315,1.051415,172
1907034,1670443680,1670443740001032693,1670443740,1.051415,1.051325,1.051285,1.051415,139
1907035,1670443740,1670443800001845851,1670443800,1.051305,1.051205,1.051075,1.051345,184
1907036,1670443800,1670443860000000000,1670443860,1.051205,1.051265,1.051185,1.051295,228
1907037,1670443860,1670443920000000000,1670443920,1.051275,1.051245,1.051175,1.051365,219
1907038,1670443920,1670443980000438716,1670443980,1.051245,1.051375,1.051225,1.051435,278
1907039,1670443980,1670444040000000000,1670444040,1.051375,1.051415,1.051125,1.051425,272
1907040,1670444040,1670444100000000000,1670444100,1.051415,1.051385,1.051335,1.051425,109
