id,from,at,to,open,close,min,max,volume
1866286,1666958040,1666958100000000000,1666958100,0.996165,0.996285,0.995975,0.996295,293
1866287,1666958100,1666958160000000000,1666958160,0.996265,0.996185,0.996165,0.996415,291
1866288,1666958160,1666958220012492032,1666958220,0.996185,0.996035,0.995955,0.996195,236
1866289,1666958220,1666958280000000000,1666958280,0.996045,0.995625,0.995555,0.996115,283
1866290,1666958280,1666958340000000000,1666958340,0.995615,0.995625,0.995505,0.995735,227
1866291,1666958340,1666958400000000000,1666958400,0.995625,0.995435,0.995385,0.995755,260
1866292,1666958400,1666958460009825224,1666958460,0.995415,0.995565,0.995415,0.995875,415
1866293,1666958460,1666958520004254837,1666958520,0.995565,0.995225,0.995195,0.995565,347
1866294,1666958520,1666958580000000000,1666958580,0.995225,0.995555,0.995225,0.995605,272
1866295,1666958580,1666958640000000000,1666958640,0.995545,0.995595,0.995525,0.995785,351
1866296,1666958640,1666958700001392834,1666958700,0.995585,0.995865,0.995475,0.995915,301
1866297,1666958700,1666958760000000000,1666958760,0.995865,0.995585,0.995545,0.995945,355
1866298,1666958760,1666958820000000000,1666958820,0.995585,0.995305,0.995175,0.995605,358
1866299,1666958820,1666958880000000000,1666958880,0.995325,0.995295,0.995005,0.995355,367
1866300,1666958880,1666958940000000000,1666958940,0.995275,0.995415,0.995195,0.995675,418
1866301,1666958940,1666959000000191003,1666959000,0.995425,0.995345,0.995325,0.995555,449
1866302,1666959000,1666959060000000000,1666959060,0.995325,0.995255,0.995175,0.995505,334
1866303,1666959060,1666959120000000000,1666959120,0.995265,0.995305,0.995265,0.995515,315
1866304,1666959120,1666959180001621282,1666959180,0.995325,0.995325,0.995185,0.995425,378
1866305,1666959180,1666959240009593289,1666959240,0.995335,0.995505,0.995325,0.995515,243
1866306,1666959240,1666959300000000000,1666959300,0.995515,0.995075,0.995015,0.995525,266
1866307,1666959300,1666959360000000000,1666959360,0.995125,0.995045,0.994975,0.995165,245
1866308,1666959360,1666959420000000000,1666959420,0.995045,0.995035,0.994655,0.995115,255
1866309,1666959420,1666959480000198952,1666959480,0.995015,0.995065,0.994925,0.995215,205
1866310,1666959480,1666959540000000000,1666959540,0.995065,0.995395,0.995015,0.995475,229
1866311,1666959540,1666959600004093121,1666959600,0.995385,0.995465,0.995275,0.995545,296
1866312,1666959600,1666959660000000000,1666959660,0.995485,0.995565,0.995205,0.995735,372
1866313,1666959660,1666959720001646386,1666959720,0.995565,0.995325,0.995315,0.995655,261
1866314,1666959720,1666959780000000000,1666959780,0.995325,0.995145,0.995025,0.995355,308
1866315,1666959780,1666959840000000000,1666959840,0.995135,0.995305,0.995115,0.995345,207
1866316,1666959840,1666959900000000000,1666959900,0.995295,0.995255,0.995105,0.995385,254
1866317,1666959900,1666959960000000000,1666959960,0.995255,0.995035,0.995035,0.995345,271
1866318,1666959960,1666960020002854791,1666960020,0.995025,0.994935,0.994705,0.995035,278
1866319,1666960020,1666960080002950968,1666960080,0.994925,0.994765,0.994665,0.994965,215
1866320,1666960080,1666960140000000000,1666960140,0.994765,0.994565,0.994445,0.994825,281
1866321,1666960140,1666960200006100659,1666960200,0.994575,0.994765,0.994575,0.994925,294
1866322,1666960200,1666960260005117263,1666960260,0.994745,0.996535,0.993695,0.996705,658
1866323,1666960260,1666960320000000000,1666960320,0.996555,0.996485,0.996005,0.996875,783
1866324,1666960320,1666960356000000000,1666960380,0.996445,0.996465,0.996155,0.996675,565
